dataset,query_id,query_original,query_variation,category,variation
antique/train/split200-valid,1907320,how do i get college money,how do i get colleeg money,Misspelling,NeighbCharSwap
antique/train/split200-valid,3884772,how about a bumper sticker thats says,how about a bumper tsicker thats says,Misspelling,NeighbCharSwap
antique/train/split200-valid,348777,why would a child s psychologist recommend hospitalization to develop social skills,why would a child s psychologist recommend ohspitalization to develop social skills,Misspelling,NeighbCharSwap
antique/train/split200-valid,397709,how and what court should i take a driver who damaged my liability insurance car,how and what court should i take a driver who damaged my ilability insurance car,Misspelling,NeighbCharSwap
antique/train/split200-valid,1398838,what does crunching numbers mean,what does rcunching numbers mean,Misspelling,NeighbCharSwap
antique/train/split200-valid,1184520,why be an a theist,why be an a thiest,Misspelling,NeighbCharSwap
antique/train/split200-valid,2689609,why do people ignore global issues,why do people ginore global issues,Misspelling,NeighbCharSwap
antique/train/split200-valid,2466898,how do i install led s into my car,how do i install lde s into my car,Misspelling,NeighbCharSwap
antique/train/split200-valid,2439070,why we get irritate,why we egt irritate,Misspelling,NeighbCharSwap
antique/train/split200-valid,3083719,how do you safely wean a person off risperidal,how do you safely wean a pesron off risperidal,Misspelling,NeighbCharSwap
antique/train/split200-valid,2891885,why does everone want a horse,why does everone wnat a horse,Misspelling,NeighbCharSwap
antique/train/split200-valid,3752394,why haven t muslims protested the terrorism by radical islam like they did the cartoon jihad,why haven t muslims protested the terrorism by radical islam like they did the cartoon ijhad,Misspelling,NeighbCharSwap
antique/train/split200-valid,1485589,how sun rises,how usn rises,Misspelling,NeighbCharSwap
antique/train/split200-valid,844617,how are dna and rna similar,how are dna and nra similar,Misspelling,NeighbCharSwap
antique/train/split200-valid,4042061,why do parakeets bounce up and down,why do paraekets bounce up and down,Misspelling,NeighbCharSwap
antique/train/split200-valid,1158088,why my neighbor s dog doesn t bark,why my neihgbor s dog doesn t bark,Misspelling,NeighbCharSwap
antique/train/split200-valid,546552,if jimmy hoffa is found on the farm how will it change american culture,if jimmy hoffa is ofund on the farm how will it change american culture,Misspelling,NeighbCharSwap
antique/train/split200-valid,1107012,what does north by north west mean,what does north by north wets mean,Misspelling,NeighbCharSwap
antique/train/split200-valid,2008456,what can i do when my ignition key won t turn,what can i do when my ignition eky won t turn,Misspelling,NeighbCharSwap
antique/train/split200-valid,4031702,how to spice up our lovemaking,how to sipce up our lovemaking,Misspelling,NeighbCharSwap
antique/train/split200-valid,4217473,how do i remove the nude patch v1 0 0 1022 from the sims 2 game,how do i remove the nude patch v1 0 0 0122 from the sims 2 game,Misspelling,NeighbCharSwap
antique/train/split200-valid,406082,how do people build mussels on there biceps,how do people build mussels on there bcieps,Misspelling,NeighbCharSwap
antique/train/split200-valid,1321784,how do blackberry s recognize that they are in their holster,how do blackberry s recognize that they are in their ohlster,Misspelling,NeighbCharSwap
antique/train/split200-valid,1708787,how to loose wait without exercise,how to loose wait without exrecise,Misspelling,NeighbCharSwap
antique/train/split200-valid,1881436,how do motorcycle remains upright and stable by gyroscopic forces in detail pls,how do motorcycle remains upright and stable by gryoscopic forces in detail pls,Misspelling,NeighbCharSwap
antique/train/split200-valid,514804,why isn t there any military bases in the state of mississippi,why isn t there any military bases in the sttae of mississippi,Misspelling,NeighbCharSwap
antique/train/split200-valid,1450678,why is my wang so enormous,why is my awng so enormous,Misspelling,NeighbCharSwap
antique/train/split200-valid,763189,why was wearing the colour green considered a sign of madness,why was wearing the oclour green considered a sign of madness,Misspelling,NeighbCharSwap
antique/train/split200-valid,3124162,how can i get rid of a sinus infection without medication,how can i get rid of a sinus infection wihtout medication,Misspelling,NeighbCharSwap
antique/train/split200-valid,2858043,how do you stop bad feelings toward the people,how do you stop bad feelings towrad the people,Misspelling,NeighbCharSwap
antique/train/split200-valid,884643,in the constellation lyra why are some of the stars labeled with the roman alphabet,in the constellation lyra why are some of the stars laebled with the roman alphabet,Misspelling,NeighbCharSwap
antique/train/split200-valid,3617468,how do yooh laugh,how do oyoh laugh,Misspelling,NeighbCharSwap
antique/train/split200-valid,4237144,why do we say god bless you when someone sneezes,why do we say god bless you when someone sneezse,Misspelling,NeighbCharSwap
antique/train/split200-valid,1639607,what is a diruetic,what is a diruetci,Misspelling,NeighbCharSwap
antique/train/split200-valid,66151,why does the it seem the u s has more serial killers than other countries,why does the it seem the u s has more sreial killers than other countries,Misspelling,NeighbCharSwap
antique/train/split200-valid,1144768,what is dark energy,what is dakr energy,Misspelling,NeighbCharSwap
antique/train/split200-valid,1097878,how to become smart,how to become msart,Misspelling,NeighbCharSwap
antique/train/split200-valid,2357505,why do some people refer to the irs as uncle sam,why do some people refer to the ris as uncle sam,Misspelling,NeighbCharSwap
antique/train/split200-valid,2546730,what quality of which is inherently contained in the question why,what quality of which is niherently contained in the question why,Misspelling,NeighbCharSwap
antique/train/split200-valid,2112535,how come my moma doesent know what 30 4 is,how come my moma doesnet know what 30 4 is,Misspelling,NeighbCharSwap
antique/train/split200-valid,2587810,what happens to bile salts when gallbladder has been removed,what happens to bile salts when gallbladder has been remvoed,Misspelling,NeighbCharSwap
antique/train/split200-valid,3913653,how can sexual desire be overcome,how can sexaul desire be overcome,Misspelling,NeighbCharSwap
antique/train/split200-valid,4336509,what is the purpose of running a fever,what is the purpose of running a feevr,Misspelling,NeighbCharSwap
antique/train/split200-valid,772988,what is the difference between dressing and stuffing,what is the difference between dressnig and stuffing,Misspelling,NeighbCharSwap
antique/train/split200-valid,4338583,how is it being you,how is it being you,Misspelling,NeighbCharSwap
antique/train/split200-valid,196651,what is the difference between customer and consumer,what is the difference between cutsomer and consumer,Misspelling,NeighbCharSwap
antique/train/split200-valid,3407617,why is prostitution wrong,why is prostiuttion wrong,Misspelling,NeighbCharSwap
antique/train/split200-valid,3731489,bulldog is aware of whats happening and trying to stop it already at vet just waiting for blood work ears fi,bulldog is aware of whats happening and trying to stop it already at vet just waiting for blood work ears if,Misspelling,NeighbCharSwap
antique/train/split200-valid,2550445,why do teens today find it amusing to tear one another apart,why do teens today find it amusing to tear oen another apart,Misspelling,NeighbCharSwap
antique/train/split200-valid,3507499,tell me the difference between revenge and vengeance,tell me the difference between ervenge and vengeance,Misspelling,NeighbCharSwap
antique/train/split200-valid,1443637,how do you find info about a house s history that isn t historical,how do you find info about a huose s history that isn t historical,Misspelling,NeighbCharSwap
antique/train/split200-valid,98438,where can i find a simplified explanation of how to use commas properly,where can i find a simplified explanation of how to ues commas properly,Misspelling,NeighbCharSwap
antique/train/split200-valid,4048305,why aren t there ever any guilty bystanders,why aren t there ever any gulity bystanders,Misspelling,NeighbCharSwap
antique/train/split200-valid,3738877,if i had a bad breath what should i do,if i had a bda breath what should i do,Misspelling,NeighbCharSwap
antique/train/split200-valid,461995,why does my congregation complain about lenght of my 90 minute sermons,why does my congregation complian about lenght of my 90 minute sermons,Misspelling,NeighbCharSwap
antique/train/split200-valid,566364,what are caskets its so amazing how they are made,what are caskets its so amzaing how they are made,Misspelling,NeighbCharSwap
antique/train/split200-valid,2632334,on the most fundamental level why is killing other humans bad,on the most fundaemntal level why is killing other humans bad,Misspelling,NeighbCharSwap
antique/train/split200-valid,263783,what affects did watergate have on the presidency,what fafects did watergate have on the presidency,Misspelling,NeighbCharSwap
antique/train/split200-valid,511835,how and why did the roman empire fell apart,how and why did the rmoan empire fell apart,Misspelling,NeighbCharSwap
antique/train/split200-valid,913424,why do i black out while i am driving,why do i balck out while i am driving,Misspelling,NeighbCharSwap
antique/train/split200-valid,103298,why precisely is foreign food considered ethnic,why precisely is foreign food considered tehnic,Misspelling,NeighbCharSwap
antique/train/split200-valid,752633,how did you do when there was a bomb while you were shopping in new york,how did you do when there was a bomb while you were shopping in new yokr,Misspelling,NeighbCharSwap
antique/train/split200-valid,3651236,what does the 21 mean,what does the 21 eman,Misspelling,NeighbCharSwap
antique/train/split200-valid,3690922,how do u end a bad rep,how do u end a bda rep,Misspelling,NeighbCharSwap
antique/train/split200-valid,4287894,how long is the train ride from italy to finland,how long is the rtain ride from italy to finland,Misspelling,NeighbCharSwap
antique/train/split200-valid,11706,why not legalize and tax prostitution,why not legalize and atx prostitution,Misspelling,NeighbCharSwap
antique/train/split200-valid,1458676,why do criminals go back to the scene of the crime,why do criminals og back to the scene of the crime,Misspelling,NeighbCharSwap
antique/train/split200-valid,1246269,how does a pardon work,how does a pardon wrok,Misspelling,NeighbCharSwap
antique/train/split200-valid,2776069,what is taj mahal,what is atj mahal,Misspelling,NeighbCharSwap
antique/train/split200-valid,3118286,how to reduce crime and violence,how to reduce crime and violnece,Misspelling,NeighbCharSwap
antique/train/split200-valid,1341602,what are some common causes of my cat s eye to be watery and drip clear fluid,what are some common causes of my cat s eye to be watery and drip clear fludi,Misspelling,NeighbCharSwap
antique/train/split200-valid,2677193,what does the phrase take no prisoners mean,what does the hprase take no prisoners mean,Misspelling,NeighbCharSwap
antique/train/split200-valid,929821,why do guys sniff their underwear,why do guys sniff their undrewear,Misspelling,NeighbCharSwap
antique/train/split200-valid,1495234,how do you use incognito in a sentence,how do you ues incognito in a sentence,Misspelling,NeighbCharSwap
antique/train/split200-valid,3824106,what happens when a young girl young boy meet alone,what happens when a young girl young boy meet alnoe,Misspelling,NeighbCharSwap
antique/train/split200-valid,2910592,how do i get rid of pink eye quick at home,how do i get rid of ipnk eye quick at home,Misspelling,NeighbCharSwap
antique/train/split200-valid,1016750,how do i erase all the contacts in my lg 6100 verizon phone at once,how do i erase all the contacts in my lg 1600 verizon phone at once,Misspelling,NeighbCharSwap
antique/train/split200-valid,4183127,why are some americans so prudish when it comes to sex,why are some americans so pruidsh when it comes to sex,Misspelling,NeighbCharSwap
antique/train/split200-valid,2235825,why do i fall asleep after i eat and how can i prevent that,why do i fall asleep after i eta and how can i prevent that,Misspelling,NeighbCharSwap
antique/train/split200-valid,643630,how do you keep your parents from divorcing,how do you keep your parents from divorcing,Misspelling,NeighbCharSwap
antique/train/split200-valid,2613648,how can i strengthen my eyes,how can i strengthen my eeys,Misspelling,NeighbCharSwap
antique/train/split200-valid,358253,why do wiccans believe that they have magical powers when they don t ever produce any magic,why do wiccans believe that they have amgical powers when they don t ever produce any magic,Misspelling,NeighbCharSwap
antique/train/split200-valid,3556937,how is lava made,how is lava mdae,Misspelling,NeighbCharSwap
antique/train/split200-valid,4092472,what does elucidate mean,what does elucdiate mean,Misspelling,NeighbCharSwap
antique/train/split200-valid,2500918,how do you cure poison oak and poison ivy,how do you cure poison oka and poison ivy,Misspelling,NeighbCharSwap
antique/train/split200-valid,2704,why does it seem that no matter how hard you try,why does it seem that no matter how hadr you try,Misspelling,NeighbCharSwap
antique/train/split200-valid,1191621,how can some one so negative go to hevan if there is one,how can some one so negative go to hevna if there is one,Misspelling,NeighbCharSwap
antique/train/split200-valid,317469,how can i get rid off my pimples white black heads and oiliness of my face,how can i get rid off my pimples white black heads and oiilness of my face,Misspelling,NeighbCharSwap
antique/train/split200-valid,595342,what is there to expect when you turn 17,what is there to expetc when you turn 17,Misspelling,NeighbCharSwap
antique/train/split200-valid,2735795,how to decrease weight 100kg to 70kg,how to decresae weight 100kg to 70kg,Misspelling,NeighbCharSwap
antique/train/split200-valid,1727879,why is organic all natural food more expensive,why is organic all natural food more xepensive,Misspelling,NeighbCharSwap
antique/train/split200-valid,3172166,does any one know how to find out about an insurance claim,does any one know how to find out about an insurance clami,Misspelling,NeighbCharSwap
antique/train/split200-valid,212427,why do criminals practice crime,why do criminals practcie crime,Misspelling,NeighbCharSwap
antique/train/split200-valid,3280274,what is a schnitzel,what is a shcnitzel,Misspelling,NeighbCharSwap
antique/train/split200-valid,2942624,why do random strangers keep asking me what ethnicity i am,why do ranodm strangers keep asking me what ethnicity i am,Misspelling,NeighbCharSwap
antique/train/split200-valid,3495304,how can i find a diabetic freind,how can i fidn a diabetic freind,Misspelling,NeighbCharSwap
antique/train/split200-valid,485408,what can i do tonight,what can i do tongiht,Misspelling,NeighbCharSwap
